(2, (9572491, 2, 'NY'))
(2, (4643164, 2, 'NY'))
(2, (8199306, 2, 'NY'))
(2, (4906989, 2, 'NY'))
(2, (1731004, 2, 'NY'))
(2, (4490777, 2, 'NJ'))
(2, (4261615, 3, 'MA'))
(2, (2894874, 2, 'NJ'))
(2, (1539535, 2, 'NY'))
(2, (5347914, 2, 'NC'))
(2, (6405292, 2, 'NY'))
(2, (9929337, 2, 'VA'))
(2, (2550153, 2, 'OK'))
(2, (5391652, 2, 'IN'))
(2, (479299, 2, 'NY'))
(2, (1172055, 2, 'NY'))
(2, (10521181, 2, 'NY'))
(2, (2428740, 2, 'NY'))
(2, (4409398, 2, 'NY'))
(2, (6276667, 2, 'TX'))
(2, (6126549, 2, 'CT'))
(2, (335091, 2, 'PA'))
(2, (10519886, 2, 'CT'))
(2, (5203432, 2, 'MD'))
(2, (3378014, 2, 'NY'))
(2, (10221655, 2, 'NY'))
(2, (6100078, 2, 'NY'))
(2, (8290730, 2, 'NY'))
(2, (9184742, 2, 'NY'))
(2, (573035, 2, 'NJ'))
(2, (6796059, 2, 'NY'))
(2, (4474674, 2, 'IN'))
(2, (9889710, 2, 'NY'))
(2, (7464117, 2, 'NJ'))
(2, (3706049, 2, 'NY'))
(2, (10167944, 2, 'NY'))
(2, (7860404, 2, 'NY'))
(2, (4629878, 2, 'NY'))
(2, (3016559, 2, 'NY'))
(2, (7887125, 2, 'NY'))
(2, (7860850, 2, 'NY'))
(2, (8884215, 2, 'NY'))
(2, (2916422, 2, 'NY'))
(2, (995430, 2, 'NY'))
(2, (2308535, 2, 'NY'))
(2, (5709529, 2, 'NY'))
(2, (10625399, 2, 'NJ'))
(2, (1497421, 2, 'NY'))
(2, (1059788, 2, 'NY'))
(2, (3019781, 2, 'NY'))
(2, (7286012, 2, 'NY'))
(2, (5368991, 2, 'NY'))
(2, (8083640, 2, 'NY'))
(2, (799863, 2, 'NY'))
(2, (3257236, 2, 'NY'))
(2, (612137, 2, 'NY'))
(2, (7653655, 2, 'NY'))
(2, (4122559, 2, 'NY'))
(2, (3114663, 2, 'NY'))
(2, (9827473, 2, 'CA'))
(2, (9125157, 2, 'NY'))
(2, (1660870, 2, 'NY'))
(2, (2986833, 2, 'NY'))
(2, (357923, 2, 'OH'))
(2, (23701, 2, 'NY'))
(2, (59778, 2, 'NY'))
(2, (8585023, 2, 'NY'))
(2, (1678110, 2, 'NY'))
(2, (99152, 2, 'NY'))
(2, (5409984, 2, 'NY'))
(2, (7075538, 2, 'NY'))
(2, (8598012, 2, 'NY'))
(2, (2632157, 2, 'NY'))
(2, (354801, 2, 'NJ'))
(2, (6905152, 2, 'NY'))
(2, (3904121, 2, 'NY'))
(2, (7634790, 2, 'NY'))
(2, (8320069, 2, 'PA'))
(2, (1352473, 2, 'NY'))
(2, (1784003, 2, 'NY'))
(2, (601323, 2, 'NY'))
(2, (3725241, 2, 'NY'))
(2, (7563863, 2, 'NY'))
(2, (6306891, 2, 'NY'))
(2, (4023154, 2, 'NY'))
(2, (5757026, 2, 'VA'))
(2, (3535998, 2, 'NY'))
(2, (1846812, 2, 'NY'))
(2, (5057636, 2, 'NY'))
(2, (366388, 2, 'NY'))
(2, (6919482, 2, 'NY'))
(2, (6732309, 2, 'NY'))
(2, (6069024, 2, 'NY'))
